ticket_id,true_reason,agent_code,double_payout,true_refund_inr,care_plus
T400001,,,N,,N
T400002,,,N,,N
T400003,,,N,,N
T400004,,,N,,N
T400005,,,N,,N
T400006,,,N,,N
T400007,,,N,,N
T400008,WTY-BUYBACK,WTY-BUYBACK,N,2844,N
T400009,,,N,,N
T400010,,,N,,N
T400011,,,N,,N
T400012,,,N,,Y
T400013,,,N,,N
T400014,,,N,,N
T400015,,,N,,N
T400016,,,N,,N
T400017,,,N,,N
T400018,,,N,,Y
T400019,DOA-REPL,GW-OTHER,N,2499,N
T400020,,,N,,N
T400021,,,N,,N
T400022,,,N,,Y
T400023,,,N,,N
T400024,,,N,,N
T400025,,,N,,N
T400026,CANCEL,GW-OTHER,N,1439,N
T400027,,,N,,Y
T400028,CANCEL,GW-OTHER,N,1799,Y
T400029,,,N,,N
T400030,,,N,,N
T400031,,,N,,N
T400032,,,N,,N
T400033,,,N,,N
T400034,LOST-TRANSIT,LOST-TRANSIT,N,2499,N
T400035,DUP-PAYMENT,GW-OTHER,N,5999,N
T400036,,,N,,N
T400037,,,N,,Y
T400038,,,N,,Y
T400039,,,N,,N
T400040,,,N,,N
T400041,,,N,,N
T400042,,,N,,Y
T400043,,,N,,Y
T400044,,,N,,N
T400045,,,N,,N
T400046,,,N,,N
T400047,,,N,,N
T400048,,,N,,N
T400049,,,N,,N
T400050,,,N,,N
T400051,,,N,,Y
T400052,,,N,,N
T400053,,,N,,N
T400054,,,N,,N
T400055,,,N,,N
T400056,,,N,,N
T400057,,,N,,N
T400058,,,N,,N
T400059,,,N,,N
T400060,,,N,,N
T400061,,,N,,Y
T400062,,,N,,Y
T400063,,,N,,N
T400064,RETURN-QC-OK,GW-OTHER,N,1999,N
T400065,,,N,,N
T400066,,,N,,N
T400067,,,N,,N
T400068,,,N,,N
T400069,DUP-PAYMENT,DUP-PAYMENT,N,3998,Y
T400070,,,N,,N
T400071,,,N,,Y
T400072,,,N,,N
T400073,,,N,,N
T400074,,,N,,N
T400075,,,N,,N
T400076,,,N,,N
T400077,DUP-PAYMENT,DUP-PAYMENT,N,6999,Y
T400078,,,N,,Y
T400079,,,N,,N
T400080,,,N,,N
T400081,RETURN-QC-OK,GW-OTHER,N,2124,N
T400082,,,N,,N
T400083,,,N,,N
T400084,,,N,,Y
T400085,,,N,,N
T400086,,,N,,N
T400087,,,N,,N
T400088,,,N,,N
T400089,,,N,,Y
T400090,,,N,,N
T400091,,,N,,N
T400092,,,N,,N
T400093,,,N,,Y
T400094,,,N,,N
T400095,,,N,,N
T400096,,,N,,N
T400097,,,N,,Y
T400098,,,N,,N
T400099,,,N,,Y
T400100,,,N,,N
T400101,,,N,,Y
T400102,,,N,,N
T400103,,,N,,N
T400104,DUP-PAYMENT,GW-OTHER,N,1999,N
T400105,DOA-REPL,DOA-REPL,N,5999,Y
T400106,,,N,,Y
T400107,,,N,,N
T400108,,,N,,N
T400109,,,N,,N
T400110,,,N,,Y
T400111,,,N,,N
T400112,,,N,,N
T400113,,,N,,N
T400114,,,N,,N
T400115,,,N,,N
T400116,,,N,,N
T400117,,,N,,N
T400118,,,N,,N
T400119,,,N,,N
T400120,,,N,,Y
T400121,,,N,,N
T400122,,,N,,Y
T400123,,,N,,N
T400124,,,N,,N
T400125,RETURN-QC-OK,GW-OTHER,N,1349,N
T400126,,,N,,N
T400127,,,N,,N
T400128,WTY-BUYBACK,GW-OTHER,N,3451,N
T400129,,,N,,N
T400130,,,N,,N
T400131,,,N,,Y
T400132,,,N,,N
T400133,,,N,,N
T400134,,,N,,N
T400135,WTY-BUYBACK,GW-OTHER,N,713,Y
T400136,,,N,,N
T400137,DOA-REPL,GW-OTHER,N,4248,Y
T400138,,,N,,N
T400139,,,N,,N
T400140,,,N,,N
T400141,,,N,,N
T400142,,,N,,N
T400143,,,N,,Y
T400144,,,N,,N
T400145,,,N,,N
T400146,,,N,,Y
T400147,,,N,,N
T400148,,,N,,N
T400149,,,N,,N
T400150,,,N,,N
T400151,RETURN-QC-OK,RETURN-QC-OK,N,1799,Y
T400152,,,N,,N
T400153,,,N,,N
T400154,,,N,,N
T400155,,,N,,N
T400156,PRICE-ADJ,GW-OTHER,N,750,N
T400157,,,N,,N
T400158,,,N,,Y
T400159,,,N,,N
T400160,,,N,,N
T400161,,,N,,Y
T400162,,,N,,Y
T400163,,,N,,N
T400164,,,N,,Y
T400165,,,N,,N
T400166,,,N,,N
T400167,,,N,,N
T400168,,,N,,Y
T400169,,,N,,N
T400170,,,N,,N
T400171,,,N,,N
T400172,,,N,,N
T400173,,,N,,N
T400174,,,N,,N
T400175,,,N,,Y
T400176,,,N,,N
T400177,,,N,,N
T400178,,,N,,N
T400179,,,N,,N
T400180,,,N,,Y
T400181,,,N,,N
T400182,,,N,,N
T400183,,,N,,N
T400184,,,N,,N
T400185,,,N,,N
T400186,,,N,,Y
T400187,,,N,,N
T400188,,,N,,N
T400189,,,N,,Y
T400190,,,N,,N
T400191,,,N,,N
T400192,,,N,,N
T400193,RETURN-QC-OK,RETURN-QC-OK,N,2124,Y
T400194,,,N,,N
T400195,,,N,,Y
T400196,,,N,,N
T400197,,,N,,N
T400198,,,N,,N
T400199,,,N,,Y
T400200,,,N,,N
T400201,,,N,,N
T400202,,,N,,N
T400203,,,N,,N
T400204,,,N,,Y
T400205,,,N,,N
T400206,,,N,,N
T400207,,,N,,Y
T400208,,,N,,N
T400209,,,N,,N
T400210,,,N,,N
T400211,,,N,,N
T400212,LOST-TRANSIT,GW-OTHER,N,1439,N
T400213,,,N,,N
T400214,,,N,,N
T400215,,,N,,N
T400216,,,N,,N
T400217,,,N,,Y
T400218,,,N,,Y
T400219,DOA-REPL,GW-OTHER,N,2124,Y
T400220,,,N,,Y
T400221,,,N,,N
T400222,,,N,,N
T400223,,,N,,N
T400224,,,N,,Y
T400225,CANCEL,GW-OTHER,N,6499,N
T400226,,,N,,N
T400227,,,N,,N
T400228,,,N,,N
T400229,,,N,,N
T400230,,,N,,Y
T400231,,,N,,N
T400232,,,N,,Y
T400233,GW-OTHER,GW-OTHER,N,150,N
T400234,,,N,,N
T400235,,,N,,N
T400236,,,N,,N
T400237,,,N,,N
T400238,,,N,,N
T400239,,,N,,Y
T400240,,,N,,Y
T400241,,,N,,N
T400242,LOST-TRANSIT,GW-OTHER,N,6649,Y
T400243,,,N,,N
T400244,DOA-REPL,DOA-REPL,N,3999,N
T400245,RETURN-QC-OK,GW-OTHER,N,5524,N
T400246,,,N,,N
T400247,,,N,,N
T400248,,,N,,Y
T400249,,,N,,Y
T400250,DUP-PAYMENT,GW-OTHER,N,6174,N
T400251,,,N,,N
T400252,LOST-TRANSIT,GW-OTHER,N,2249,Y
T400253,,,N,,N
T400254,,,N,,N
T400255,,,N,,N
T400256,,,N,,Y
T400257,GW-OTHER,GW-OTHER,N,350,N
T400258,,,N,,Y
T400259,RETURN-QC-OK,RETURN-QC-OK,N,6649,Y
T400260,,,N,,N
T400261,,,N,,N
T400262,,,N,,N
T400263,,,N,,N
T400264,,,N,,N
