ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
T400021,2025-01-01 02:30:22,2025-01-01 02:36:41,2025-01-01 11:08:30,resolved,chat,C100466,VR891241,VA-EB-PL1,Warranty,Normal,Chat Frontline,A3007,,4,,,N,"Pulse True Wireless Earbuds screen flickering, in warranty.",Sent for repair under warranty. Returned to customer.,legacy_fd
T409035,2025-01-01 03:15:40,2025-01-01 04:04:46,2025-01-01 22:43:47,resolved,voice,C108798,,VA-EB-PL1,Warranty,High,Email Frontline,A3022,,3,,,Y,"Pulse True Wireless Earbuds screen flickering, in warranty.",Warranty replacement approved by Tier 2.,legacy_fd
T400009,2025-01-01 03:54:55,2025-01-01 04:03:50,2025-01-02 01:01:07,resolved,chat,C103573,VR893879,VA-HP-ST2,Billing,Normal,Email Frontline,A3022,,,,,N,Need GST invoice for my order.,Invoice reissued.,legacy_fd
T407953,2025-01-01 07:55:15,2025-01-02 11:15:08,2025-01-02 14:29:08,resolved,email,C107623,,VA-HP-ST2,Product fault,Low,Chat Frontline,A3007,,,25000,GW-OTHER,N,Bad experience with delivery delay. Something for the trouble?,"sorry gesture, TL ok'd",legacy_fd
T400003,2025-01-01 08:29:08,2025-01-01 12:54:37,2025-01-02 11:50:11,closed,email,C103583,VR909256,VA-HP-ST2,Warranty,Low,Chat Frontline,A3002,,4,,,N,"Strata 2 Over-Ear Headphones screen flickering, in warranty.",Warranty replacement approved by Tier 2.,legacy_fd
T400001,2025-01-01 09:48:13,2025-01-01 09:48:49,2025-01-01 11:38:54,closed,chat,C107276,VR888469,VA-EB-AIR,Billing,Low,Voice Frontline,A3023,,3,,,N,Please resend my order invoice.,GST invoice shared.,legacy_fd
T400048,2025-01-01 09:53:39,2025-01-01 10:56:20,2025-01-01 19:33:11,resolved,social,C102636,,VA-EB-PL1,Billing,Normal,Chat Frontline,A3011,,,,,N,How do I pair Pulse True Wireless Earbuds with my phone? Blinking red only.,"Explained pairing steps, resolved.",legacy_fd
T400018,2025-01-01 09:55:02,2025-01-01 09:56:34,2025-01-01 09:21:33,resolved,chat,C104425,VR900159,VA-EB-AIR,Returns,Normal,Chat Frontline,A3003,,,,,N,"AirLite Earbuds screen flickering, in warranty.",Sent for repair under warranty. Returned to customer.,legacy_fd
T400014,2025-01-01 11:36:08,2025-01-01 12:48:07,2025-01-01 18:30:19,resolved,voice,C101784,VR892726,VA-EB-PL1,Account,High,Escalations & Warranty,A3040,,4,,,N,Does Pulse True Wireless Earbuds come with a charger in the box?,Shared spec details with customer.,legacy_fd
T400049,2025-01-01 19:00:14,2025-01-01 19:12:46,2025-01-01 23:11:39,resolved,chat,C108268,VR904877,VA-SW-NX1,Billing,Normal,Logistics,A3028,,,,,N,Please resend my order invoice.,Invoice reissued.,legacy_fd
T408760,2025-01-01 19:42:47,2025-01-01 19:44:33,2025-01-01 16:01:58,resolved,chat,C108601,,VA-HP-ST2,Returns,High,Escalations & Warranty,A3039,,,499900,DOA-REPL,N,"Item delivered 2 days back. Not working, completely dead. Please return and refund.","unit nahi chal raha out of box, cx wants paisa wapas, done",legacy_fd
T408812,2025-01-01 21:35:18,2025-01-01 22:26:03,2025-01-02 02:14:01,resolved,voice,C107331,,VA-AC-CASE,How-to,Normal,Chat Frontline,A3003,,,,,N,Unable to connect Pulse Charging Case (spare) to the app.,Walked customer through app update. Issue closed.,legacy_fd
T407133,2025-01-02 01:14:02,2025-01-02 01:16:30,2025-01-02 03:53:44,resolved,chat,C105750,,VA-SW-NX2,Account,Low,Email Frontline,A3017,,3,,,N,Does Nexa 2 Smartwatch come with a charger in the box?,"Info provided, no further action.",legacy_fd
T407874,2025-01-02 01:46:29,2025-01-02 02:32:13,2025-01-03 02:19:03,resolved,social,C105423,,VA-NB-ARC,How-to,Low,Returns Desk,A3038,,,,,N,How do I pair Arc Neckband with my phone? Blinking red only.,"Explained pairing steps, resolved.",legacy_fd
T400102,2025-01-02 04:20:28,2025-01-02 11:31:31,2025-01-02 11:18:33,resolved,email,C100956,VR896352,VA-EB-PL1,Billing,Normal,Voice Frontline,A3024,,,,,N,Please resend my order invoice.,GST invoice shared.,legacy_fd
T400059,2025-01-02 07:16:09,2025-01-02 07:18:13,2025-01-02 15:28:31,resolved,chat,C101254,VR894461,VA-SP-ORB,Warranty,Normal,Chat Frontline,A3002,,,,,N,Where is my order? Tracking not updating.,Informed customer of delay; delivered.,legacy_fd
T400011,2025-01-02 07:20:08,2025-01-02 07:25:52,2025-01-03 06:29:08,resolved,voice,C108023,VR908556,VA-EB-AIR,Account,Low,Returns Desk,A3037,,,,,N,What is the battery life on AirLite Earbuds?,"Info provided, no further action.",legacy_fd
T400002,2025-01-02 09:23:10,2025-01-02 13:46:01,2025-01-03 04:17:47,resolved,email,C107300,VR893942,VA-SW-FIT,Account,Normal,Voice Frontline,A3026,,3,,,N,Is Nexa Fit Band compatible with iPhone?,Shared spec details with customer.,legacy_fd
T400010,2025-01-02 15:54:57,2025-01-02 23:01:31,,open,email,C105485,VR895928,VA-HP-ST3,Account,High,Email Frontline,A3021,,,,,N,Is Strata 3 Over-Ear Headphones compatible with iPhone?,Shared spec details with customer.,legacy_fd
T400020,2025-01-02 18:08:19,2025-01-03 05:24:43,2025-01-03 05:25:42,closed,email,C102450,VR903673,VA-EB-AIR,Delivery,High,Email Frontline,A3020,,,,,N,When will AirLite Earbuds be delivered?,"Escalated to logistics, delivered next day.",legacy_fd
T409144,2025-01-02 19:29:28,2025-01-02 21:13:01,2025-01-03 17:07:35,closed,email,C103163,,VA-NB-ARC,How-to,Normal,Chat Frontline,A3039,,,,,N,Firmware update fails at 60%.,Walked customer through app update. Issue closed.,legacy_fd
T400110,2025-01-02 20:50:01,2025-01-02 21:27:33,,open,chat,C106365,,VA-SW-NX1,Billing,Low,Email Frontline,A3018,,,,,N,Please resend my order invoice.,GST invoice shared.,legacy_fd
T400076,2025-01-03 00:30:55,2025-01-03 05:43:21,2025-01-03 20:33:40,resolved,email,C107596,VR890214,VA-NB-ARC,Billing,Normal,Billing,A3033,,,,,N,Need GST invoice for my order.,Invoice reissued.,legacy_fd
T408145,2025-01-03 04:11:18,2025-01-03 04:33:54,2025-01-03 21:49:12,resolved,chat,C107020,,VA-SW-NX2,Returns,Normal,Chat Frontline,A3001,,,,,N,Need GST invoice for my order.,Invoice reissued.,legacy_fd
T408946,2025-01-03 07:19:14,2025-01-03 07:39:54,2025-01-03 21:56:45,resolved,chat,C108975,,VA-HP-ST3,Billing,Normal,Chat Frontline,A3015,,2,,,N,"Invoice shows wrong name, please correct.",GST invoice shared.,legacy_fd
T400099,2025-01-03 07:47:11,2025-01-04 10:17:28,2025-01-04 08:23:14,resolved,email,C100543,VR907895,VA-SW-FIT,Billing,Normal,Chat Frontline,A3023,,3,,,N,Please resend my order invoice.,Invoice reissued.,legacy_fd
T400030,2025-01-03 09:34:15,2025-01-03 11:17:50,2025-01-04 04:56:35,resolved,voice,C103585,VR896036,VA-HP-ST3,Account,Normal,Chat Frontline,A3004,,,,,N,What is the battery life on Strata 3 Over-Ear Headphones?,"Info provided, no further action.",legacy_fd
T400077,2025-01-03 17:39:21,2025-01-03 17:47:33,2025-01-04 04:26:31,resolved,chat,C100468,VR906700,VA-HP-ST3,Billing,High,Billing,A3033,,4,699900,DUP-PAYMENT,N,I was charged twice for the same order! Please refund one payment.,"Failed payment, amount debited. Reversal initiated.",legacy_fd
T400008,2025-01-03 21:11:53,2025-01-03 21:50:17,2025-01-03 18:54:38,resolved,chat,C108619,VR905056,VA-HP-ST2,Warranty,Low,Escalations & Warranty,A3039,,3,284400,WTY-BUYBACK,N,Strata 2 Over-Ear Headphones in warranty keeps failing. Repaired twice already. I'd rather have a buyback.,Warranty buyback: device could not be repaired. Refunded as per policy.,legacy_fd
T400092,2025-01-03 23:42:03,2025-01-04 00:15:03,2025-01-03 23:06:08,resolved,chat,C104870,,VA-NB-ARC,Account,Normal,Returns Desk,A3038,,,,,N,Is Arc Neckband compatible with iPhone?,Answered compatibility question.,legacy_fd
T400005,2025-01-03 23:43:12,2025-01-03 23:49:39,2025-01-04 14:56:17,resolved,chat,C102127,VR888387,VA-SW-FIT,Delivery,Low,Chat Frontline,A3007,,3,,,N,Need GST invoice for my order.,Invoice reissued.,legacy_fd
T407478,2025-01-04 00:47:50,2025-01-04 20:37:00,2025-01-05 09:46:41,resolved,email,C103106,,VA-SP-MINI,Billing,Low,Chat Frontline,A3009,,3,,,N,Need GST invoice for my order.,Sent corrected invoice on email.,legacy_fd
T400015,2025-01-04 04:57:11,2025-01-04 05:00:19,2025-01-04 07:05:02,resolved,chat,C109340,VR896436,VA-HP-ST3,Warranty,Low,Chat Frontline,A3010,,,,,N,Battery draining fast on my Strata 3 Over-Ear Headphones.,Warranty replacement approved by Tier 2.,legacy_fd
T400007,2025-01-04 07:50:11,2025-01-04 08:08:43,2025-01-05 04:09:47,resolved,chat,C102190,VR881625,VA-EB-AIR,Billing,Low,Logistics,A3030,,4,,,N,Please resend my order invoice.,GST invoice shared.,legacy_fd
T400036,2025-01-04 08:26:23,2025-01-04 08:30:27,2025-01-04 07:28:34,closed,chat,C101420,VR887077,VA-AC-CBL,Warranty,High,Email Frontline,A3019,,4,,,Y,Left earbud crackling after 4 months.,Warranty replacement approved by Tier 2.,legacy_fd
T400036,2025-01-04 08:26:23,2025-01-04 08:30:27,2025-01-04 07:28:34,closed,chat,C101420,VR887077,VA-AC-CBL,Warranty,High,Email Frontline,A3019,,4,,,Y,Left earbud crackling after 4 months.,Warranty replacement approved by Tier 2.,helpdesk
T409033,2025-01-04 08:35:36,2025-01-04 08:40:14,2025-01-04 21:11:22,resolved,chat,C103211,,VA-SP-ORB,Account,Normal,Chat Frontline,A3012,,4,100000,GW-OTHER,N,Had to contact you three times for one issue. Not happy.,Apologised for delay and gave goodwill refund.,legacy_fd
T400006,2025-01-04 09:06:02,2025-01-04 10:21:44,2025-01-04 08:58:29,resolved,social,C101256,VR902663,VA-EB-PL1,Delivery,High,Chat Frontline,A3005,,5,,,N,When will Pulse True Wireless Earbuds be delivered?,Informed customer of delay; delivered.,legacy_fd
T400072,2025-01-04 15:10:32,2025-01-04 15:19:04,2025-01-05 08:31:10,closed,chat,C104643,VR888132,VA-SP-ORB,Warranty,Normal,Chat Frontline,A3012,,,,,N,Please resend my order invoice.,GST invoice shared.,legacy_fd
T400123,2025-01-04 21:42:13,2025-01-05 04:20:25,2025-01-06 04:41:54,closed,email,C107056,VR899376,VA-SW-FIT,Delivery,Normal,Chat Frontline,A3015,,,,,N,When will Nexa Fit Band be delivered?,Informed customer of delay; delivered.,legacy_fd
T400123,2025-01-04 21:42:13,2025-01-05 04:20:25,2025-01-06 04:41:54,closed,email,C107056,VR899376,VA-SW-FIT,Delivery,Normal,Chat Frontline,A3015,,,,,N,When will Nexa Fit Band be delivered?,Informed customer of delay; delivered.,helpdesk
T400023,2025-01-04 22:00:09,2025-01-05 03:41:45,2025-01-05 08:27:29,resolved,email,C106192,VR888228,VA-EB-AIR,Warranty,Normal,Voice Frontline,A3023,,4,,,N,"AirLite Earbuds screen flickering, in warranty.","Raised RMA, repair done in service centre. Customer satisfied.",legacy_fd
T408523,2025-01-05 00:35:20,2025-01-05 04:36:21,2025-01-06 04:12:27,resolved,email,C102635,,VA-SP-MINI,Delivery,Low,Email Frontline,A3019,,4,,,N,Need GST invoice for my order.,Sent corrected invoice on email.,legacy_fd
T407771,2025-01-05 01:19:37,2025-01-05 05:50:22,2025-01-05 13:21:47,resolved,email,C105459,,VA-HP-ST3,Returns,Normal,Returns Desk,A3037,,,699900,DOA-REPL,N,"the Strata 3 Over-Ear Headphones arrived faulty. no lights, no pairing. I want a full refund",item ded when opened. refnd issued,legacy_fd
T407771,2025-01-05 01:19:37,2025-01-05 05:50:22,2025-01-05 13:21:47,resolved,email,C105459,,VA-HP-ST3,Returns,Normal,Returns Desk,A3037,,,6999,DOA-REPL,N,"the Strata 3 Over-Ear Headphones arrived faulty. no lights, no pairing. I want a full refund",item ded when opened. refnd issued,helpdesk
T400004,2025-01-05 01:20:04,2025-01-05 01:56:55,2025-01-05 10:31:45,resolved,chat,C104001,VR888163,VA-HP-ST3,Product fault,Normal,Chat Frontline,A3003,,4,,,N,Need GST invoice for my order.,GST invoice shared.,legacy_fd
T400039,2025-01-05 03:24:49,2025-01-05 03:33:23,2025-01-05 09:04:52,resolved,chat,C105284,VR895710,VA-EB-AIR,Account,Normal,Logistics,A3029,,,,,N,Battery draining fast on my AirLite Earbuds.,"Raised RMA, repair done in service centre. Customer satisfied.",legacy_fd
T400086,2025-01-05 07:31:47,2025-01-06 10:49:36,2025-01-07 09:00:07,resolved,email,C109416,VR884841,VA-SP-ORB,Billing,Normal,Chat Frontline,A3008,,3,,,N,Need GST invoice for my order.,GST invoice shared.,legacy_fd
T408741,2025-01-05 07:52:24,2025-01-05 07:57:17,2025-01-06 05:33:50,resolved,chat,C102321,,VA-SP-ORB,Delivery,Normal,Email Frontline,A3019,,,,,N,Where is my order? Tracking not updating.,Informed customer of delay; delivered.,legacy_fd
T400065,2025-01-05 10:42:16,2025-01-05 10:49:48,2025-01-06 03:41:16,resolved,chat,C101073,VR896425,VA-SW-NX1,Account,High,Voice Frontline,A3030,,,,,N,What is the battery life on Nexa Smartwatch?,Shared spec details with customer.,legacy_fd
T400022,2025-01-05 12:20:51,2025-01-05 12:28:13,2025-01-06 06:54:08,resolved,chat,C104568,,VA-AC-CH65,How-to,Normal,Chat Frontline,A3007,,5,,,N,Unable to connect 65W GaN Charger to the app.,Walked customer through app update. Issue closed.,legacy_fd
T400137,2025-01-05 15:00:41,2025-01-05 15:04:17,2025-01-06 03:02:04,resolved,chat,C107373,VR881223,VA-EB-PL1,Returns,Low,Returns Desk,A3037,,,424800,GW-OTHER,N,DOA unit. Tried 3 cables. Nothing. Refund me.,"box opened, piece is totally kaput from day 1. money back given",legacy_fd
T400025,2025-01-05 15:32:51,2025-01-05 15:44:45,2025-01-06 07:28:54,closed,chat,C103616,VR906129,VA-EB-AIR,Delivery,High,Chat Frontline,A3014,,3,,,N,When will AirLite Earbuds be delivered?,Informed customer of delay; delivered.,legacy_fd
T400025,2025-01-05 15:32:51,2025-01-05 15:44:45,2025-01-06 07:28:54,closed,chat,C103616,VR906129,VA-EB-AIR,Delivery,High,Chat Frontline,A3014,,3,,,N,When will AirLite Earbuds be delivered?,Informed customer of delay; delivered.,helpdesk
T400016,2025-01-05 18:51:15,2025-01-05 18:59:45,2025-01-05 16:26:18,closed,chat,C103554,,VA-SP-ORB,How-to,Normal,Chat Frontline,A3013,,5,,,N,How do I pair Orbit Smart Speaker with my phone? Blinking red only.,Walked customer through app update. Issue closed.,legacy_fd
T408080,2025-01-05 19:49:07,2025-01-05 21:30:21,2025-01-05 17:33:57,resolved,voice,C107586,,VA-AC-CBL,Delivery,Low,Voice Frontline,A3024,,4,,,N,Where is my order? Tracking not updating.,"Shared updated tracking, courier ETA confirmed.",legacy_fd
T400078,2025-01-05 20:56:41,2025-01-06 00:28:28,,open,email,C101083,VR909649,VA-SP-ORB,Warranty,High,Voice Frontline,A3024,,,,,Y,Left earbud crackling after 4 months.,"Raised RMA, repair done in service centre. Customer satisfied.",legacy_fd
